# 16/44100, 16/44100

-21.98 181.82
-19.32 232.07
-29.72 164.11
-30.52 203.13
-32.00 218.93
-30.58 158.75
-19.25 220.23
-22.03 181.75
-14.04 180.83
-17.48 143.82
-24.16 166.54
-19.91 166.78
-28.36 186.07
-16.99 210.47
-29.27 189.66
-16.82 155.15
-17.86 145.24
-18.32 172.79
-31.68 195.11
-26.98 178.36
-23.81 167.09
-28.26 189.78
-32.44 191.93
-24.35 175.14
-23.82 173.81
